Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Folk,5,5,100.0,50,0,2,1,1,1,0,0,1,18.0,18.0,9.5%,TEN,1,2023
2,Jake Elliott,4,4,100.0,56,0,0,1,1,2,1,2,1,18.0,18.0,93.5%,PHI,1,2023
3,Brett Maher,3,5,60.0,54,0,0,1,1,1,3,3,1,15.0,15.0,0.6%,FA,1,2023
4,Jake Moody,3,3,100.0,41,0,0,1,2,0,3,3,1,14.0,14.0,72.1%,SF,1,2023
5,Jason Sanders,3,3,100.0,45,0,1,0,2,0,3,4,1,14.0,14.0,46.2%,MIA,1,2023
6,Tyler Bass,3,3,100.0,50,0,0,1,1,1,1,1,1,13.0,13.0,45.5%,BUF,1,2023
7,Blake Grupe,3,3,100.0,52,0,1,1,0,1,1,1,1,12.0,12.0,3.9%,NO,1,2023
8,Cameron Dicker,2,2,100.0,50,0,1,0,0,1,4,4,1,12.0,12.0,50.4%,LAC,1,2023
9,Dustin Hopkins,3,3,100.0,43,0,0,1,2,0,1,1,1,12.0,12.0,29.1%,CLE,1,2023
10,Matt Prater,3,3,100.0,54,0,1,1,0,1,1,1,1,12.0,12.0,1.7%,ARI,1,2023
11,Greg Zuerlein,3,3,100.0,43,0,1,1,1,0,1,1,1,11.0,11.0,43.8%,NYJ,1,2023
12,Brandon Aubrey,2,2,100.0,38,0,1,1,0,0,4,5,1,10.0,10.0,96.9%,DAL,1,2023
13,Anders Carlson,1,1,100.0,52,0,0,0,0,1,5,5,1,10.0,10.0,2.0%,GB,1,2023
14,Chase McLaughlin,2,2,100.0,57,0,0,1,0,1,2,2,1,10.0,10.0,6.8%,TB,1,2023
15,Ka'imi Fairbairn,3,3,100.0,38,0,0,3,0,0,0,0,1,9.0,9.0,47.4%,HOU,1,2023
16,Joey Slye,2,2,100.0,33,0,0,2,0,0,2,2,1,8.0,8.0,0.6%,NE,1,2023
17,Harrison Butker,2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,96.2%,KC,1,2023
18,Brandon McManus,1,1,100.0,45,0,0,0,1,0,4,4,1,8.0,8.0,18.3%,FA,1,2023
19,Jason Myers,2,3,66.7,42,0,0,1,1,0,1,1,1,8.0,8.0,32.1%,SEA,1,2023
20,Younghoe Koo,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,61.7%,ATL,1,2023
21,Cairo Santos,2,2,100.0,47,0,1,0,1,0,0,0,1,7.0,7.0,26.6%,CHI,1,2023
22,Eddy Pineiro,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,1.5%,CAR,1,2023
23,Greg Joseph,1,1,100.0,25,0,1,0,0,0,2,2,1,5.0,5.0,3.7%,GB,1,2023
24,Justin Tucker,1,1,100.0,39,0,0,1,0,0,2,2,1,5.0,5.0,98.7%,BAL,1,2023
25,Daniel Carlson,1,1,100.0,24,0,1,0,0,0,2,2,1,5.0,5.0,24.2%,LV,1,2023
26,Evan McPherson,1,2,50.0,42,0,0,0,1,0,0,0,1,4.0,4.0,81.8%,CIN,1,2023
27,Wil Lutz,1,2,50.0,24,0,1,0,0,0,1,2,1,4.0,4.0,10.3%,DEN,1,2023
28,Riley Patterson,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,13.1%,JAC,1,2023
29,Matt Gay,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,28.9%,IND,1,2023
30,Chad Ryland,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.4%,NE,1,2023
31,Chris Boswell,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,17.2%,PIT,1,2023
32,Ramiz Ahmed,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WAS,1,2023
33,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,1,2023
34,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.0%,DET,1,2023
35,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,1,2023
36,Tanner Brown,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,1,2023
37,Valentino Ambrosio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,1,2023
38,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,1,2023
39,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,1,2023
40,Alex McNulty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,1,2023
41,James Turner,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,1,2023
42,Harrison Mevis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,1,2023
43,Jack Browning,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,1,2023
44,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TEN,1,2023
45,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,LAR,1,2023
46,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,JAC,1,2023
47,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,1,2023
48,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,MIN,1,2023
49,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,DET,1,2023
50,John Parker Romo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,1,2023
51,Cade York,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CLE,1,2023
52,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,1,2023
53,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,1,2023
54,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,1,2023
55,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,1,2023
56,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,1,2023
57,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,1,2023
58,Graham Gano,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.3%,NYG,1,2023
59,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,1,2023
60,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,1,2023
61,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,1,2023
62,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,1,2023
63,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,1,2023
64,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,1,2023
65,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,1,2023
66,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,1,2023
67,Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0%,LAR,1,2023
68,Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,1,2023
69,Colton Theaker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,1,2023
