Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Los Angeles Chargers,8,0,3,3,0,0,1,1,27.0,27.0,13.8%,LAC,9,2023
2,Indianapolis Colts,4,3,0,1,2,0,0,1,26.0,26.0,26.4%,IND,9,2023
3,Cleveland Browns,7,2,1,1,0,0,0,1,23.0,23.0,94.2%,CLE,9,2023
4,Las Vegas Raiders,8,2,0,1,0,0,0,1,19.0,19.0,24.5%,LV,9,2023
5,Baltimore Ravens,4,1,1,1,0,0,0,1,15.0,15.0,86.2%,BAL,9,2023
6,New Orleans Saints,2,3,2,2,0,0,0,1,13.0,13.0,64.0%,NO,9,2023
7,Green Bay Packers,1,1,1,1,0,0,0,1,12.0,12.0,26.4%,GB,9,2023
8,Kansas City Chiefs,3,0,1,2,1,0,0,1,12.0,12.0,77.7%,KC,9,2023
9,Los Angeles Rams,4,0,2,2,0,0,0,1,9.0,9.0,21.2%,LAR,9,2023
10,Atlanta Falcons,4,0,2,2,0,1,0,1,9.0,9.0,16.7%,ATL,9,2023
11,New England Patriots,3,1,1,1,0,0,0,1,8.0,8.0,13.6%,NE,9,2023
12,Philadelphia Eagles,5,0,1,1,0,0,0,1,7.0,7.0,51.6%,PHI,9,2023
13,Pittsburgh Steelers,4,1,0,0,0,0,0,1,7.0,7.0,75.9%,PIT,9,2023
14,Cincinnati Bengals,1,1,1,1,0,0,0,1,6.0,6.0,50.0%,CIN,9,2023
15,Miami Dolphins,2,0,1,1,0,0,0,1,5.0,5.0,69.9%,MIA,9,2023
16,New York Jets,5,0,0,2,0,0,0,1,5.0,5.0,82.4%,NYJ,9,2023
17,Carolina Panthers,1,0,1,0,0,0,0,1,4.0,4.0,3.0%,CAR,9,2023
18,Minnesota Vikings,1,1,1,1,0,0,0,1,4.0,4.0,10.9%,MIN,9,2023
19,Washington Commanders,0,1,0,0,0,0,0,1,3.0,3.0,8.1%,WAS,9,2023
20,Dallas Cowboys,3,0,0,2,0,0,0,1,2.0,2.0,92.7%,DAL,9,2023
21,Seattle Seahawks,1,0,2,2,0,0,0,1,1.0,1.0,22.4%,SEA,9,2023
22,Buffalo Bills,1,0,0,0,0,0,0,1,1.0,1.0,61.3%,BUF,9,2023
23,Tampa Bay Buccaneers,3,0,1,2,0,0,0,1,1.0,1.0,20.8%,TB,9,2023
24,Tennessee Titans,0,0,0,0,0,0,0,1,1.0,1.0,3.5%,TEN,9,2023
25,Arizona Cardinals,1,0,0,0,0,0,0,1,1.0,1.0,0.8%,ARI,9,2023
26,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0.0,0.0,50.2%,JAC,9,2023
27,Houston Texans,2,0,1,2,0,0,0,1,0.0,0.0,31.9%,HOU,9,2023
28,Detroit Lions,0,0,0,0,0,0,0,0,0.0,0.0,38.6%,DET,9,2023
29,Denver Broncos,0,0,0,0,0,0,0,0,0.0,0.0,34.5%,DEN,9,2023
30,Chicago Bears,0,0,0,0,0,0,0,1,0.0,0.0,33.9%,CHI,9,2023
31,San Francisco 49ers,0,0,0,0,0,0,0,0,0.0,0.0,97.8%,SF,9,2023
32,New York Giants,0,0,0,0,0,0,0,1,-1.0,-1.0,2.4%,NYG,9,2023
