Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dallas Cowboys,7,2,1,3,1,0,1,1,37.0,37.0,92.7%,DAL,1,2023
2,New York Jets,5,3,1,1,0,0,1,1,20.0,20.0,82.4%,NYJ,1,2023
3,Arizona Cardinals,6,1,2,2,1,0,0,1,19.0,19.0,0.8%,ARI,1,2023
4,Green Bay Packers,4,1,1,1,1,0,0,1,15.0,15.0,26.4%,GB,1,2023
5,San Francisco 49ers,5,2,0,0,0,0,0,1,13.0,13.0,97.8%,SF,1,2023
6,Philadelphia Eagles,2,1,1,1,1,0,0,1,13.0,13.0,51.6%,PHI,1,2023
7,Atlanta Falcons,2,2,1,1,0,0,0,1,12.0,12.0,16.7%,ATL,1,2023
8,Jacksonville Jaguars,4,1,2,2,0,0,0,1,11.0,11.0,50.2%,JAC,1,2023
9,Indianapolis Colts,2,1,1,3,1,0,0,1,11.0,11.0,26.4%,IND,1,2023
10,Washington Commanders,3,0,2,2,0,0,0,1,11.0,11.0,8.1%,WAS,1,2023
11,Baltimore Ravens,5,0,1,1,0,0,0,1,11.0,11.0,86.2%,BAL,1,2023
12,New Orleans Saints,3,3,0,0,0,0,0,1,10.0,10.0,64.0%,NO,1,2023
13,Detroit Lions,0,1,0,0,1,0,0,1,9.0,9.0,38.6%,DET,1,2023
14,Cleveland Browns,2,0,0,0,0,0,0,1,9.0,9.0,94.2%,CLE,1,2023
15,Tennessee Titans,4,1,1,1,0,0,0,1,9.0,9.0,3.5%,TEN,1,2023
16,Tampa Bay Buccaneers,2,1,2,1,0,0,0,1,9.0,9.0,20.8%,TB,1,2023
17,Houston Texans,4,1,1,1,0,0,0,1,8.0,8.0,31.9%,HOU,1,2023
18,Cincinnati Bengals,3,1,1,1,0,0,0,1,7.0,7.0,50.0%,CIN,1,2023
19,Los Angeles Rams,2,0,0,0,0,0,0,1,6.0,6.0,21.2%,LAR,1,2023
20,New England Patriots,3,0,1,1,0,0,0,1,6.0,6.0,13.6%,NE,1,2023
21,Buffalo Bills,3,1,0,1,0,0,0,1,5.0,5.0,61.3%,BUF,1,2023
22,Pittsburgh Steelers,3,0,1,3,0,0,0,1,4.0,4.0,75.9%,PIT,1,2023
23,Carolina Panthers,4,0,0,1,0,0,0,1,4.0,4.0,3.0%,CAR,1,2023
24,Kansas City Chiefs,1,0,1,1,0,0,0,1,4.0,4.0,77.7%,KC,1,2023
25,Las Vegas Raiders,2,0,0,0,0,0,0,1,3.0,3.0,24.5%,LV,1,2023
26,Denver Broncos,0,1,0,0,0,0,0,1,3.0,3.0,34.5%,DEN,1,2023
27,Minnesota Vikings,1,0,0,0,0,0,0,1,2.0,2.0,10.9%,MIN,1,2023
28,Miami Dolphins,3,0,0,0,0,0,0,1,2.0,2.0,69.9%,MIA,1,2023
29,Seattle Seahawks,0,0,0,0,0,0,0,1,1.0,1.0,22.4%,SEA,1,2023
30,Los Angeles Chargers,0,1,1,0,0,0,0,1,0.0,0.0,13.8%,LAC,1,2023
31,Chicago Bears,1,0,0,0,0,0,0,1,0.0,0.0,33.9%,CHI,1,2023
32,New York Giants,0,0,0,1,0,0,0,1,-1.0,-1.0,2.4%,NYG,1,2023
