Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Miami Dolphins,7,2,0,1,1,0,0,1,21.0,21.0,69.9%,MIA,12,2023
2,Dallas Cowboys,4,1,0,0,1,0,0,1,16.0,16.0,92.7%,DAL,12,2023
3,Denver Broncos,4,0,3,2,0,1,0,1,16.0,16.0,34.5%,DEN,12,2023
4,Baltimore Ravens,3,1,3,3,0,0,0,1,15.0,15.0,86.2%,BAL,12,2023
5,Green Bay Packers,3,0,3,3,1,0,0,1,15.0,15.0,26.4%,GB,12,2023
6,San Francisco 49ers,6,1,1,0,0,0,0,1,14.0,14.0,97.8%,SF,12,2023
7,Chicago Bears,2,4,0,2,0,0,0,1,14.0,14.0,33.9%,CHI,12,2023
8,New York Jets,2,2,1,0,1,0,0,1,13.0,13.0,82.4%,NYJ,12,2023
9,New England Patriots,6,0,1,1,0,0,0,1,12.0,12.0,13.6%,NE,12,2023
10,Atlanta Falcons,1,1,1,2,1,0,0,1,12.0,12.0,16.7%,ATL,12,2023
11,New York Giants,2,3,0,1,0,0,0,1,12.0,12.0,2.4%,NYG,12,2023
12,Minnesota Vikings,3,0,2,3,0,0,0,1,11.0,11.0,10.9%,MIN,12,2023
13,Indianapolis Colts,6,1,1,1,0,0,0,1,11.0,11.0,26.4%,IND,12,2023
14,Tennessee Titans,4,0,1,1,0,0,0,1,10.0,10.0,3.5%,TEN,12,2023
15,Pittsburgh Steelers,4,1,0,1,0,0,0,1,10.0,10.0,75.9%,PIT,12,2023
16,Seattle Seahawks,1,1,0,0,1,0,0,1,8.0,8.0,22.4%,SEA,12,2023
17,Cincinnati Bengals,2,0,1,1,0,0,0,1,5.0,5.0,50.0%,CIN,12,2023
18,Los Angeles Rams,4,0,0,0,0,0,0,1,5.0,5.0,21.2%,LAR,12,2023
19,New Orleans Saints,0,2,0,0,0,0,0,1,5.0,5.0,64.0%,NO,12,2023
20,Philadelphia Eagles,1,1,0,0,0,0,0,1,4.0,4.0,51.6%,PHI,12,2023
21,Tampa Bay Buccaneers,2,1,0,0,0,0,0,1,4.0,4.0,20.8%,TB,12,2023
22,Jacksonville Jaguars,4,0,0,0,0,0,0,1,4.0,4.0,50.2%,JAC,12,2023
23,Los Angeles Chargers,2,0,0,1,0,0,0,1,3.0,3.0,13.8%,LAC,12,2023
24,Houston Texans,0,1,0,0,0,0,0,1,2.0,2.0,31.9%,HOU,12,2023
25,Cleveland Browns,1,0,1,1,0,0,0,1,2.0,2.0,94.2%,CLE,12,2023
26,Carolina Panthers,1,0,0,0,0,0,0,1,2.0,2.0,3.0%,CAR,12,2023
27,Buffalo Bills,2,1,1,0,0,0,0,1,2.0,2.0,61.3%,BUF,12,2023
28,Kansas City Chiefs,1,0,0,0,0,0,0,1,2.0,2.0,77.7%,KC,12,2023
29,Las Vegas Raiders,1,0,0,0,0,0,0,1,0.0,0.0,24.5%,LV,12,2023
30,Detroit Lions,0,0,0,0,0,0,0,1,0.0,0.0,38.6%,DET,12,2023
31,Arizona Cardinals,0,1,0,0,0,0,0,1,-2.0,-2.0,0.8%,ARI,12,2023
32,Washington Commanders,0,0,0,1,0,0,0,1,-4.0,-4.0,8.1%,WAS,12,2023
