Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tyler Bass,6,8,75.0,53,0,1,1,3,1,0,0,1,23.0,23.0,45.5%,BUF,7,2020
2,Matt Prater,3,4,75.0,51,0,0,0,1,2,2,2,1,16.0,16.0,1.7%,ARI,7,2020
3,Zane Gonzalez,3,4,75.0,49,0,0,0,3,0,4,4,1,16.0,16.0,0.1%,FA,7,2020
4,Harrison Butker,3,3,100.0,40,0,1,1,1,0,4,5,1,14.0,14.0,96.2%,KC,7,2020
5,Jason Myers,2,2,100.0,44,0,0,0,2,0,4,4,1,12.0,12.0,32.1%,SEA,7,2020
6,Wil Lutz,2,2,100.0,43,0,0,0,2,0,3,3,1,11.0,11.0,10.3%,DEN,7,2020
7,Robbie Gould,2,2,100.0,41,0,0,1,1,0,3,4,1,10.0,10.0,0.1%,FA,7,2020
8,Randy Bullock,2,2,100.0,37,0,1,1,0,0,4,4,1,10.0,10.0,0.1%,FA,7,2020
9,Daniel Carlson,2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,9.0,24.2%,LV,7,2020
10,Michael Badgley,2,3,66.7,35,0,0,2,0,0,3,4,1,9.0,9.0,19.0%,DET,7,2020
11,Chris Boswell,2,2,100.0,38,0,0,2,0,0,3,3,1,9.0,9.0,17.2%,PIT,7,2020
12,Ryan Succop,1,1,100.0,29,0,1,0,0,0,6,6,1,9.0,9.0,0.0%,FA,7,2020
13,Stephen Gostkowski,1,2,50.0,51,0,0,0,0,1,3,3,1,8.0,8.0,0.1%,FA,7,2020
14,Ka'imi Fairbairn,2,3,66.7,38,0,1,1,0,0,2,2,1,8.0,8.0,47.4%,HOU,7,2020
15,Cody Parkey,1,1,100.0,43,0,0,0,1,0,4,5,1,8.0,8.0,0.1%,FA,7,2020
16,Nick Folk,2,2,100.0,41,0,0,0,2,0,0,0,1,8.0,8.0,9.5%,TEN,7,2020
17,Joey Slye,1,2,50.0,43,0,0,0,1,0,3,3,1,7.0,7.0,0.6%,NE,7,2020
18,Sam Sloman,1,2,50.0,22,0,1,0,0,0,3,3,1,6.0,6.0,0.0%,FA,7,2020
19,Mason Crosby,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,7,2020
20,Brandon McManus,1,1,100.0,43,0,0,0,1,0,1,2,1,5.0,5.0,18.3%,FA,7,2020
21,Cairo Santos,1,1,100.0,42,0,0,0,1,0,1,1,1,5.0,5.0,26.6%,CHI,7,2020
22,Dustin Hopkins,1,2,50.0,30,0,0,1,0,0,2,2,1,5.0,5.0,29.1%,CLE,7,2020
23,Greg Zuerlein,1,1,100.0,45,0,0,0,1,0,0,0,1,4.0,4.0,43.8%,NYJ,7,2020
24,Sergio Castillo,1,1,100.0,29,0,1,0,0,0,1,1,1,4.0,4.0,0.0%,FA,7,2020
25,Jake Elliott,1,2,50.0,31,0,0,1,0,0,1,1,1,4.0,4.0,93.5%,PHI,7,2020
26,Graham Gano,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.3%,NYG,7,2020
27,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,61.7%,ATL,7,2020
28,Josh Lambo,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,7,2020
29,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,7,2020
