Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Arizona Cardinals,3,2,2,3,1,0,0,1,21.0,21.0,0.8%,ARI,3,2021
2,New Orleans Saints,2,3,0,0,1,0,0,1,20.0,20.0,64.0%,NO,3,2021
3,Denver Broncos,5,2,0,0,0,0,0,1,19.0,19.0,34.5%,DEN,3,2021
4,Cleveland Browns,9,0,0,0,0,0,0,1,16.0,16.0,94.2%,CLE,3,2021
5,Dallas Cowboys,2,2,0,0,1,0,0,1,13.0,13.0,92.7%,DAL,3,2021
6,Cincinnati Bengals,4,2,0,1,0,0,0,1,12.0,12.0,50.0%,CIN,3,2021
7,Los Angeles Chargers,2,2,2,2,0,0,0,1,10.0,10.0,13.8%,LAC,3,2021
8,Miami Dolphins,3,1,0,1,1,0,0,1,10.0,10.0,69.9%,MIA,3,2021
9,Jacksonville Jaguars,0,1,0,0,0,0,0,1,8.0,8.0,50.2%,JAC,3,2021
10,Philadelphia Eagles,4,0,1,1,1,0,0,1,8.0,8.0,51.6%,PHI,3,2021
11,Carolina Panthers,4,0,0,0,0,0,0,1,8.0,8.0,3.0%,CAR,3,2021
12,Buffalo Bills,1,2,1,1,0,0,0,1,7.0,7.0,61.3%,BUF,3,2021
13,Detroit Lions,4,1,0,1,0,0,0,1,7.0,7.0,38.6%,DET,3,2021
14,Green Bay Packers,4,1,1,1,0,0,0,1,7.0,7.0,26.4%,GB,3,2021
15,Indianapolis Colts,1,2,1,1,0,0,0,1,7.0,7.0,26.4%,IND,3,2021
16,New York Giants,3,0,1,1,0,0,0,1,6.0,6.0,2.4%,NYG,3,2021
17,Chicago Bears,5,0,0,0,0,0,0,1,5.0,5.0,33.9%,CHI,3,2021
18,Atlanta Falcons,2,0,1,2,0,0,0,1,5.0,5.0,16.7%,ATL,3,2021
19,New York Jets,2,0,1,1,0,0,0,1,4.0,4.0,82.4%,NYJ,3,2021
20,Las Vegas Raiders,2,0,0,1,0,1,0,1,4.0,4.0,24.5%,LV,3,2021
21,Minnesota Vikings,2,0,0,0,0,0,0,1,3.0,3.0,10.9%,MIN,3,2021
22,New England Patriots,3,0,0,0,0,0,0,1,3.0,3.0,13.6%,NE,3,2021
23,Houston Texans,3,0,0,2,0,0,0,1,3.0,3.0,31.9%,HOU,3,2021
24,Baltimore Ravens,2,0,0,0,0,0,0,1,3.0,3.0,86.2%,BAL,3,2021
25,Los Angeles Rams,3,0,0,2,0,0,0,1,3.0,3.0,21.2%,LAR,3,2021
26,Tennessee Titans,2,0,0,0,0,0,0,1,3.0,3.0,3.5%,TEN,3,2021
27,Pittsburgh Steelers,0,1,0,0,0,0,0,1,2.0,2.0,75.9%,PIT,3,2021
28,Kansas City Chiefs,1,0,0,1,0,0,0,1,0.0,0.0,77.7%,KC,3,2021
29,Seattle Seahawks,1,0,0,1,0,0,0,1,0.0,0.0,22.4%,SEA,3,2021
30,San Francisco 49ers,1,0,0,1,0,0,0,1,0.0,0.0,97.8%,SF,3,2021
31,Tampa Bay Buccaneers,1,0,0,1,0,0,0,1,0.0,0.0,20.8%,TB,3,2021
32,Washington Commanders,0,0,0,0,0,0,0,1,-4.0,-4.0,8.1%,WAS,3,2021
