Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Miami Dolphins,2,2,2,2,1,0,1,1,23.0,23.0,69.9%,MIA,8,2020
2,Philadelphia Eagles,4,0,2,2,1,1,0,1,20.0,20.0,51.6%,PHI,8,2020
3,Pittsburgh Steelers,4,2,2,3,1,0,0,1,18.0,18.0,75.9%,PIT,8,2020
4,Indianapolis Colts,5,1,1,1,1,0,0,1,15.0,15.0,26.4%,IND,8,2020
5,Dallas Cowboys,4,2,2,3,0,0,0,1,13.0,13.0,92.7%,DAL,8,2020
6,Kansas City Chiefs,1,0,1,1,0,0,0,1,9.0,9.0,77.7%,KC,8,2020
7,Las Vegas Raiders,0,0,1,1,0,0,0,1,9.0,9.0,24.5%,LV,8,2020
8,Tampa Bay Buccaneers,3,2,0,0,0,0,0,1,7.0,7.0,20.8%,TB,8,2020
9,Seattle Seahawks,3,1,1,1,0,0,0,1,7.0,7.0,22.4%,SEA,8,2020
10,New Orleans Saints,5,1,0,0,0,0,0,1,7.0,7.0,64.0%,NO,8,2020
11,Atlanta Falcons,3,1,0,0,0,0,0,1,6.0,6.0,16.7%,ATL,8,2020
12,Denver Broncos,2,2,0,0,0,0,0,1,5.0,5.0,34.5%,DEN,8,2020
13,Los Angeles Rams,1,0,2,2,0,0,0,1,5.0,5.0,21.2%,LAR,8,2020
14,Cincinnati Bengals,1,1,0,0,0,0,0,1,4.0,4.0,50.0%,CIN,8,2020
15,Carolina Panthers,2,1,0,0,0,0,0,1,4.0,4.0,3.0%,CAR,8,2020
16,Buffalo Bills,2,0,1,1,0,0,0,1,4.0,4.0,61.3%,BUF,8,2020
17,New York Giants,2,0,1,1,0,0,0,1,4.0,4.0,2.4%,NYG,8,2020
18,Baltimore Ravens,2,0,1,2,0,0,0,1,4.0,4.0,86.2%,BAL,8,2020
19,Cleveland Browns,2,0,0,1,0,0,0,1,3.0,3.0,94.2%,CLE,8,2020
20,Los Angeles Chargers,2,1,0,0,0,0,0,1,3.0,3.0,13.8%,LAC,8,2020
21,Minnesota Vikings,1,0,1,1,0,0,0,1,3.0,3.0,10.9%,MIN,8,2020
22,New England Patriots,1,1,0,0,0,0,0,1,3.0,3.0,13.6%,NE,8,2020
23,Chicago Bears,1,0,0,3,0,0,0,1,1.0,1.0,33.9%,CHI,8,2020
24,Green Bay Packers,1,0,0,0,0,0,0,1,0.0,0.0,26.4%,GB,8,2020
25,Detroit Lions,2,0,0,1,0,0,0,1,0.0,0.0,38.6%,DET,8,2020
26,Tennessee Titans,0,0,0,0,0,0,0,1,-1.0,-1.0,3.5%,TEN,8,2020
27,San Francisco 49ers,2,0,0,0,0,0,0,1,-2.0,-2.0,97.8%,SF,8,2020
28,New York Jets,0,0,0,1,0,0,0,1,-4.0,-4.0,82.4%,NYJ,8,2020
