Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Cleveland Browns,5,2,1,2,1,1,0,1,20.0,20.0,94.2%,CLE,11,2020
2,Pittsburgh Steelers,2,4,0,1,0,0,0,1,17.0,17.0,75.9%,PIT,11,2020
3,Carolina Panthers,5,0,1,0,0,0,0,1,17.0,17.0,3.0%,CAR,11,2020
4,New Orleans Saints,8,2,0,0,0,0,0,1,16.0,16.0,64.0%,NO,11,2020
5,Washington Commanders,4,1,1,1,0,0,0,1,12.0,12.0,8.1%,WAS,11,2020
6,Denver Broncos,6,1,0,0,0,0,0,1,12.0,12.0,34.5%,DEN,11,2020
7,Los Angeles Chargers,1,1,0,0,1,0,0,1,8.0,8.0,13.8%,LAC,11,2020
8,Philadelphia Eagles,3,0,1,1,0,0,0,1,8.0,8.0,51.6%,PHI,11,2020
9,New York Jets,3,0,1,1,0,1,0,1,8.0,8.0,82.4%,NYJ,11,2020
10,Indianapolis Colts,1,1,3,1,0,0,0,1,8.0,8.0,26.4%,IND,11,2020
11,Detroit Lions,1,2,0,1,0,0,0,1,6.0,6.0,38.6%,DET,11,2020
12,Atlanta Falcons,3,0,1,1,0,0,0,1,5.0,5.0,16.7%,ATL,11,2020
13,Los Angeles Rams,1,2,0,0,0,0,0,1,5.0,5.0,21.2%,LAR,11,2020
14,Seattle Seahawks,3,0,0,0,0,1,0,1,5.0,5.0,22.4%,SEA,11,2020
15,Miami Dolphins,0,1,1,1,0,0,0,1,5.0,5.0,69.9%,MIA,11,2020
16,Dallas Cowboys,2,0,2,2,0,0,0,1,5.0,5.0,92.7%,DAL,11,2020
17,Cincinnati Bengals,2,1,0,1,0,0,0,1,5.0,5.0,50.0%,CIN,11,2020
18,Minnesota Vikings,1,1,0,0,0,0,0,1,4.0,4.0,10.9%,MIN,11,2020
19,Tampa Bay Buccaneers,0,2,0,0,0,0,0,1,4.0,4.0,20.8%,TB,11,2020
20,Green Bay Packers,1,1,1,1,0,0,0,1,4.0,4.0,26.4%,GB,11,2020
21,Tennessee Titans,1,1,0,0,0,0,0,1,3.0,3.0,3.5%,TEN,11,2020
22,Houston Texans,2,0,0,0,0,0,0,1,3.0,3.0,31.9%,HOU,11,2020
23,Baltimore Ravens,2,1,0,1,0,0,0,1,3.0,3.0,86.2%,BAL,11,2020
24,Arizona Cardinals,3,0,0,0,0,0,0,1,2.0,2.0,0.8%,ARI,11,2020
25,Jacksonville Jaguars,0,1,0,0,0,0,0,1,2.0,2.0,50.2%,JAC,11,2020
26,Kansas City Chiefs,0,1,0,0,0,0,0,1,1.0,1.0,77.7%,KC,11,2020
27,New England Patriots,0,0,0,0,0,0,0,1,0.0,0.0,13.6%,NE,11,2020
28,Las Vegas Raiders,0,1,0,0,0,0,0,1,-2.0,-2.0,24.5%,LV,11,2020
