Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Keenan Allen,8,10,111,13.9,42,3,2,0,0,0,0,1,31.1,31.1,91.1%,CHI,2,2023
2,Puka Nacua,15,20,147,9.8,20,1,0,2,4,0,0,1,30.1,30.1,96.9%,LAR,2,2023
3,Mike Evans,6,8,171,28.5,70,9,1,0,0,0,0,1,29.1,29.1,98.1%,TB,2,2023
4,Tee Higgins,8,12,89,11.1,20,1,2,0,0,0,0,1,28.9,28.9,94.5%,CIN,2,2023
5,Nico Collins,7,9,146,20.9,32,6,1,0,0,0,0,1,27.6,27.6,95.6%,HOU,2,2023
6,Tyler Lockett,8,10,59,7.4,12,0,2,0,0,0,0,1,25.9,25.9,88.8%,SEA,2,2023
7,CeeDee Lamb,11,13,143,13.0,31,5,0,0,0,0,0,1,25.3,25.3,100.0%,DAL,2,2023
8,Justin Jefferson,11,13,159,14.5,30,5,0,0,0,0,1,1,24.9,24.9,100.0%,MIN,2,2023
9,Josh Reynolds,5,6,66,13.2,22,2,2,0,0,0,0,1,23.6,23.6,7.4%,DEN,2,2023
10,DeVonta Smith,4,5,131,32.8,63,8,1,0,0,0,0,1,23.1,23.1,98.0%,PHI,2,2023
11,George Pickens,4,10,127,31.8,71,6,1,0,0,0,0,1,22.7,22.7,86.9%,PIT,2,2023
12,Deebo Samuel Sr.,6,9,63,10.5,23,1,0,5,38,1,0,1,22.1,22.1,98.8%,SF,2,2023
13,Christian Kirk,11,14,110,10.0,45,3,0,0,0,0,0,1,22.0,22.0,70.5%,JAC,2,2023
14,Gabe Davis,6,7,92,15.3,40,3,1,0,0,0,0,1,21.2,21.2,54.7%,JAC,2,2023
15,Brandon Johnson,2,3,66,33.0,50,4,2,0,0,0,0,1,20.6,20.6,1.1%,DEN,2,2023
16,Adam Thielen,7,9,54,7.7,15,0,1,0,0,0,0,1,20.4,20.4,76.1%,CAR,2,2023
17,Davante Adams,6,8,84,14.0,21,1,1,0,0,0,0,1,20.4,20.4,99.9%,LV,2,2023
18,Marvin Mims Jr.,2,2,113,56.5,60,8,1,2,10,0,0,1,20.3,20.3,6.6%,DEN,2,2023
19,Tank Dell,7,10,72,10.3,23,1,1,0,0,0,0,1,20.2,20.2,60.1%,HOU,2,2023
20,Jayden Reed,4,8,37,9.3,10,0,2,0,0,0,0,1,19.7,19.7,77.1%,GB,2,2023
