Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tank Dell,6,11,114,19.0,29,2,2,2,2,0,0,1,29.6,29.6,60.1%,HOU,9,2023
2,CeeDee Lamb,11,16,191,17.4,29,5,0,0,0,0,1,1,28.1,28.1,100.0%,DAL,9,2023
3,Noah Brown,6,6,153,25.5,75,7,1,0,0,0,0,1,27.3,27.3,23.5%,HOU,9,2023
4,Amari Cooper,5,5,139,27.8,59,7,1,0,0,0,0,1,24.9,24.9,91.4%,CLE,9,2023
5,Stefon Diggs,6,7,86,14.3,34,2,1,0,0,0,0,1,22.6,22.6,99.7%,HOU,9,2023
6,Diontae Johnson,7,9,90,12.9,32,2,1,0,0,0,0,1,22.0,22.0,83.3%,CAR,9,2023
7,A.J. Brown,7,9,66,9.4,20,1,1,0,0,0,0,1,19.6,19.6,99.9%,PHI,9,2023
8,Tee Higgins,8,9,110,13.8,21,1,0,0,0,0,0,1,19.0,19.0,94.5%,CIN,9,2023
9,Jahan Dotson,4,8,69,17.3,33,3,1,0,0,0,0,1,16.9,16.9,30.6%,WAS,9,2023
10,Chris Olave,6,8,46,7.7,14,0,1,0,0,0,0,1,16.6,16.6,98.8%,NO,9,2023
11,Keenan Allen,8,9,77,9.6,23,1,0,0,0,0,0,1,15.7,15.7,91.1%,CHI,9,2023
12,Odell Beckham Jr.,5,7,56,11.2,15,0,1,0,0,0,1,1,14.6,14.6,33.2%,MIA,9,2023
13,Nico Collins,3,5,54,18.0,23,1,1,0,0,0,0,1,14.4,14.4,95.6%,HOU,9,2023
14,Michael Pittman Jr.,8,8,64,8.0,16,0,0,0,0,0,0,1,14.4,14.4,97.2%,IND,9,2023
15,DeVonta Smith,3,3,51,17.0,29,1,1,0,0,0,0,1,14.1,14.1,98.0%,PHI,9,2023
16,Jalen Tolbert,3,5,49,16.3,32,2,1,0,0,0,0,1,13.9,13.9,1.5%,DAL,9,2023
17,Jakobi Meyers,2,5,38,19.0,24,1,0,1,17,1,0,1,13.5,13.5,75.5%,LV,9,2023
18,Wan'Dale Robinson,4,5,35,8.8,12,0,1,0,0,0,0,1,13.5,13.5,10.1%,NYG,9,2023
19,Darnell Mooney,5,6,82,16.4,38,2,0,0,0,0,0,1,13.2,13.2,39.2%,ATL,9,2023
20,Garrett Wilson,7,13,80,11.4,31,2,0,0,0,0,1,1,13.0,13.0,97.7%,NYJ,9,2023
21,Mike Evans,4,5,87,21.8,53,4,0,0,0,0,0,1,12.7,12.7,98.1%,TB,9,2023
22,Tyreek Hill,8,10,62,7.8,19,0,0,1,3,0,1,1,12.5,12.5,100.0%,MIA,9,2023
23,Terry McLaurin,5,8,73,14.6,36,3,0,0,0,0,0,1,12.3,12.3,90.2%,WAS,9,2023
24,Jaxon Smith-Njigba,6,7,63,10.5,35,2,0,0,0,0,0,1,12.3,12.3,76.1%,SEA,9,2023
25,JuJu Smith-Schuster,6,7,51,8.5,20,1,0,0,0,0,0,1,11.1,11.1,7.0%,NE,9,2023
26,Kyle Philips,4,5,68,17.0,24,2,0,0,0,0,0,1,10.8,10.8,0.1%,TEN,9,2023
27,DeAndre Hopkins,4,11,60,15.0,29,1,0,1,5,0,0,1,10.5,10.5,92.5%,TEN,9,2023
28,DeMario Douglas,5,7,55,11.0,18,0,0,1,0,0,0,1,10.5,10.5,21.2%,NE,9,2023
29,Jordan Addison,5,7,52,10.4,24,2,0,0,0,0,0,1,10.2,10.2,88.6%,MIN,9,2023
30,Cedrick Wilson Jr.,1,5,31,31.0,31,2,1,0,0,0,0,1,10.1,10.1,1.1%,NO,9,2023
31,Darius Slayton,4,7,59,14.8,34,2,0,0,0,0,0,1,9.9,9.9,2.7%,NYG,9,2023
32,Khalil Shakir,4,4,57,14.3,23,2,0,0,0,0,0,1,9.7,9.7,10.6%,BUF,9,2023
33,Rashee Rice,2,2,17,8.5,11,0,1,0,0,0,0,1,9.7,9.7,89.7%,KC,9,2023
34,Brandon Powell,2,3,15,7.5,9,0,1,0,0,0,0,1,9.5,9.5,0.7%,MIN,9,2023
35,KhaDarel Hodge,3,6,60,20.0,31,3,0,0,0,0,0,1,9.0,9.0,0.1%,ATL,9,2023
36,DJ Chark Jr.,2,3,9,4.5,5,0,1,0,0,0,0,1,8.9,8.9,4.6%,LAC,9,2023
37,Tyler Boyd,3,5,56,18.7,32,2,0,0,0,0,0,1,8.6,8.6,28.0%,TEN,9,2023
38,Byron Pringle,3,4,55,18.3,26,1,0,0,0,0,0,1,8.5,8.5,0.0%,FA,9,2023
39,Jaylen Waddle,3,6,42,14.0,15,0,0,1,12,0,0,1,8.4,8.4,96.3%,MIA,9,2023
40,Ja'Marr Chase,4,8,41,10.3,32,2,0,0,0,0,0,1,8.1,8.1,99.4%,CIN,9,2023
41,Trey Palmer,3,4,51,17.0,21,1,0,0,0,0,0,1,8.1,8.1,1.6%,TB,9,2023
42,Adam Thielen,5,6,29,5.8,7,0,0,0,0,0,0,1,7.9,7.9,76.1%,CAR,9,2023
43,Tre Tucker,2,3,52,26.0,50,4,0,1,4,0,0,1,7.6,7.6,0.6%,LV,9,2023
44,KaVontae Turpin,1,1,5,5.0,5,0,1,1,0,0,0,1,7.5,7.5,0.8%,DAL,9,2023
45,Davante Adams,4,7,34,8.5,12,0,0,0,0,0,0,1,7.4,7.4,99.9%,LV,9,2023
46,Derius Davis,1,1,0,0.0,0,0,0,0,0,0,0,1,7.0,7.0,0.4%,LAC,9,2023
47,Jayden Reed,3,3,19,6.3,11,0,0,1,21,0,0,1,7.0,7.0,77.1%,GB,9,2023
48,Dontayvion Wicks,4,4,49,12.3,18,0,0,0,0,0,1,1,6.9,6.9,6.4%,GB,9,2023
49,Cooper Kupp,2,7,48,24.0,34,2,0,0,0,0,0,1,6.8,6.8,97.9%,LAR,9,2023
50,Romeo Doubs,3,3,36,12.0,17,0,0,0,0,0,0,1,6.6,6.6,43.2%,GB,9,2023
51,Mack Hollins,3,3,36,12.0,18,0,0,0,0,0,0,1,6.6,6.6,0.3%,BUF,9,2023
52,Hollywood Brown,4,8,24,6.0,14,0,0,0,0,0,0,1,6.4,6.4,79.0%,KC,9,2023
53,Jamison Crowder,4,6,23,5.8,7,0,0,0,0,0,0,1,6.3,6.3,0.3%,WAS,9,2023
54,Puka Nacua,3,7,32,10.7,18,0,0,0,0,0,0,1,6.2,6.2,96.9%,LAR,9,2023
55,Tyler Lockett,3,8,32,10.7,18,0,0,0,0,0,0,1,6.2,6.2,88.8%,SEA,9,2023
56,DK Metcalf,1,4,50,50.0,50,4,0,0,0,0,0,1,6.0,6.0,98.5%,SEA,9,2023
57,Rashod Bateman,3,5,28,9.3,15,0,0,0,0,0,0,1,5.8,5.8,9.6%,BAL,9,2023
58,DJ Moore,3,5,44,14.7,18,0,0,0,0,0,1,1,5.4,5.4,97.7%,CHI,9,2023
59,Tutu Atwell,4,7,13,3.3,5,0,0,0,0,0,0,1,5.3,5.3,9.4%,LAR,9,2023
60,Skyy Moore,2,3,33,16.5,23,1,0,0,0,0,0,1,5.3,5.3,6.5%,KC,9,2023
61,Dyami Brown,2,4,33,16.5,19,0,0,0,0,0,0,1,5.3,5.3,0.2%,WAS,9,2023
62,Hunter Renfrow,2,3,32,16.0,19,0,0,0,0,0,0,1,5.2,5.2,0.7%,FA,9,2023
