Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ryan Kerrigan,2,0,2.0,0,0,0,1,0,1,20.0,20.0,0.0%,FA,1,2020
2,Aldon Smith,6,5,1.0,0,0,0,0,0,1,19.3,19.3,0.0%,FA,1,2020
3,Joey Bosa,5,0,1.0,0,0,0,0,0,1,16.5,16.5,16.3%,LAC,1,2020
4,Denico Autry,2,0,2.0,0,0,0,0,0,1,16.0,16.0,10.5%,HOU,1,2020
5,Leonard Williams,4,1,1.0,0,0,0,0,0,1,15.8,15.8,11.1%,SEA,1,2020
6,Trey Flowers,4,1,1.0,0,0,1,0,0,1,14.8,14.8,0.2%,FA,1,2020
7,Chase Young,2,2,1.5,0,0,1,0,0,1,14.5,14.5,10.5%,NO,1,2020
8,Grady Jarrett,2,3,1.5,0,0,0,0,0,1,13.8,13.8,5.7%,ATL,1,2020
9,Mario Addison,3,0,1.0,0,0,0,0,0,1,13.5,13.5,4.0%,FA,1,2020
10,Akiem Hicks,4,1,1.0,0,0,0,0,0,1,13.3,13.3,0.0%,FA,1,2020
11,Matt Ioannidis,2,2,1.5,0,0,0,0,0,1,13.0,13.0,0.0%,FA,1,2020
12,William Gholston,3,4,0.0,0,0,0,0,0,1,12.5,12.5,1.6%,TB,1,2020
13,Trey Hendrickson,4,0,1.0,0,0,0,0,0,1,12.5,12.5,35.9%,CIN,1,2020
14,Adrian Clayborn,2,0,1.0,0,0,0,0,0,1,12.0,12.0,0.0%,FA,1,2020
15,Montez Sweat,2,0,1.0,0,0,0,0,0,1,12.0,12.0,35.6%,CHI,1,2020
16,Carl Lawson,3,1,1.0,0,0,0,0,0,1,11.8,11.8,0.0%,FA,1,2020
17,Dexter Lawrence II,3,1,1.0,0,0,0,0,0,1,11.8,11.8,12.5%,NYG,1,2020
18,Josh Sweat,2,1,1.0,0,0,1,0,0,1,11.8,11.8,14.1%,PHI,1,2020
19,Christian Wilkins,4,0,0.0,2,0,0,0,0,1,11.5,11.5,48.7%,LV,1,2020
20,Sam Hubbard,3,6,0.0,0,0,0,0,0,1,11.5,11.5,21.9%,CIN,1,2020
21,Chris Jones,3,1,1.5,0,0,0,0,0,1,11.3,11.3,25.6%,KC,1,2020
22,Carl Granderson,2,0,1.0,0,0,1,0,0,1,11.0,11.0,29.4%,NO,1,2020
23,Kerry Hyder Jr.,3,0,1.0,0,0,0,0,0,1,11.0,11.0,2.0%,FA,1,2020
24,Larry Ogunjobi,3,0,0.0,0,0,1,0,0,1,11.0,11.0,2.3%,PIT,1,2020
25,Nick Bosa,3,3,0.0,0,0,1,0,0,1,10.8,10.8,63.7%,SF,1,2020
26,Jason Pierre-Paul,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,1,2020
27,Aaron Donald,1,3,1.0,0,0,0,0,0,1,10.3,10.3,11.6%,FA,1,2020
28,Frank Clark,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,1,2020
29,Tyson Alualu,3,1,0.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,1,2020
30,DeForest Buckner,4,2,0.0,0,0,0,0,0,1,10.0,10.0,47.6%,IND,1,2020
31,Jurrell Casey,3,3,0.0,2,0,0,0,0,1,9.8,9.8,0.1%,FA,1,2020
32,Trent Murphy,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,1,2020
33,Melvin Ingram III,2,0,0.0,1,1,0,0,0,1,9.5,9.5,0.0%,FA,1,2020
34,Angelo Blackson,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.2%,DEN,1,2020
35,Zach Allen,2,0,1.0,0,0,0,0,0,1,9.5,9.5,11.0%,DEN,1,2020
36,Benson Mayowa,1,0,1.0,1,0,0,0,0,1,9.5,9.5,0.0%,FA,1,2020
37,D.J. Jones,1,0,1.0,1,0,0,0,0,1,9.5,9.5,4.4%,DEN,1,2020
38,Jerry Tillery,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.8%,MIN,1,2020
39,Justin Houston,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,1,2020
40,Michael Brockers,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,1,2020
41,Jeffery Simmons,3,1,0.0,0,0,0,1,0,1,9.3,9.3,28.2%,TEN,1,2020
42,P.J. Hall,4,1,0.0,0,0,0,0,0,1,9.3,9.3,0.0%,FA,1,2020
43,Chase Winovich,4,1,0.0,0,0,0,0,0,1,9.3,9.3,0.0%,FA,1,2020
44,Cameron Jordan,4,0,0.0,0,0,0,0,0,1,8.5,8.5,5.8%,NO,1,2020
45,Dante Fowler Jr.,1,3,0.5,0,0,0,0,0,1,8.3,8.3,3.7%,WAS,1,2020
46,Myles Garrett,1,0,0.0,0,0,0,1,0,1,8.0,8.0,63.8%,CLE,1,2020
47,Stephon Tuitt,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.1%,FA,1,2020
48,Cameron Heyward,1,0,0.0,1,1,0,0,0,1,8.0,8.0,23.1%,PIT,1,2020
49,Derek Rivers,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,1,2020
50,Daron Payne,0,2,0.5,0,0,1,0,0,1,7.5,7.5,15.4%,WAS,1,2020
51,Tarell Basham,3,0,0.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,1,2020
52,Justin Zimmer,2,2,0.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,1,2020
53,Jerry Hughes,2,0,0.0,0,0,0,1,0,1,7.0,7.0,1.0%,FA,1,2020
54,Davon Godchaux,3,0,0.0,0,0,0,0,0,1,7.0,7.0,4.4%,NE,1,2020
55,Mike Purcell,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,1,2020
56,Jadeveon Clowney,2,1,0.0,0,0,0,0,0,1,6.3,6.3,22.5%,CAR,1,2020
57,Foley Fatukasi,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.4%,HOU,1,2020
58,Bruce Irvin,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.2%,FA,1,2020
59,Calais Campbell,1,0,0.0,3,0,0,0,0,1,6.0,6.0,2.9%,MIA,1,2020
60,Brandon Graham,2,0,0.0,0,0,0,0,0,1,5.5,5.5,2.3%,PHI,1,2020
61,Jalyn Holmes,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.4%,NYJ,1,2020
62,Malcolm Roach,2,0,0.0,0,0,0,0,0,1,5.5,5.5,1.0%,DEN,1,2020
63,Vincent Taylor,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,1,2020
64,Derrick Brown,0,0,0.0,2,0,0,0,0,1,5.5,5.5,40.2%,CAR,1,2020
65,Jihad Ward,1,5,0.0,0,0,0,0,0,1,5.3,5.3,0.2%,MIN,1,2020
66,Shelby Harris,3,1,0.0,0,0,0,0,0,1,5.3,5.3,1.0%,CLE,1,2020
67,Hassan Ridgeway,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,1,2020
68,Jaleel Johnson,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,1,2020
69,J.J. Watt,3,1,0.0,0,0,0,0,0,1,5.3,5.3,4.2%,FA,1,2020
70,Everson Griffen,2,1,0.0,1,0,0,0,0,1,5.3,5.3,2.0%,FA,1,2020
71,Lawrence Guy Sr.,3,1,0.0,0,0,0,0,0,1,5.3,5.3,4.0%,FA,1,2020
72,Brian Burns,3,1,0.0,0,0,0,0,0,1,5.3,5.3,41.8%,NYG,1,2020
73,Morgan Fox,2,1,0.0,1,0,0,0,0,1,5.3,5.3,2.3%,LAC,1,2020
74,Grover Stewart,3,1,0.0,0,0,0,0,0,1,5.3,5.3,3.6%,IND,1,2020
75,Haason Reddick,2,1,0.0,1,0,0,0,0,1,5.3,5.3,17.4%,NYJ,1,2020
76,Jonathan Allen,1,2,0.5,0,0,0,0,0,1,5.0,5.0,14.9%,WAS,1,2020
77,Maurice Hurst II Jr.,1,2,0.5,0,0,0,0,0,1,5.0,5.0,0.2%,CLE,1,2020
78,Vinny Curry,1,2,0.5,0,0,0,0,0,1,5.0,5.0,0.0%,FA,1,2020
79,Trysten Hill,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.2%,NE,1,2020
80,Mike Danna,3,0,0.0,0,0,0,0,0,1,4.5,4.5,5.3%,KC,1,2020
81,DJ Reader,1,4,0.0,0,0,0,0,0,1,4.5,4.5,2.1%,DET,1,2020
82,Linval Joseph,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,1,2020
83,Kawann Short,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,1,2020
84,Carl Nassib,1,1,0.5,0,0,0,0,0,1,4.3,4.3,0.0%,FA,1,2020
85,Margus Hunt,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,1,2020
86,Kyle Phillips,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,1,2020
87,Ola Adeniyi,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,1,2020
88,Poona Ford,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.8%,LAC,1,2020
89,Danny Shelton,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,1,2020
90,Clelin Ferrell,0,3,0.0,1,0,0,0,0,1,3.8,3.8,1.7%,WAS,1,2020
91,Adam Butler,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.8%,LV,1,2020
92,Dre'Mont Jones,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.9%,SEA,1,2020
93,Sebastian Joseph-Day,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.2%,TEN,1,2020
94,Dontari Poe,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,1,2020
95,Adam Gotsis,1,2,0.0,0,0,0,0,0,1,3.0,3.0,1.2%,JAC,1,2020
96,DeMarcus Lawrence,1,0,0.0,1,0,0,0,0,1,3.0,3.0,12.8%,DAL,1,2020
