Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,D.J. Wonnum,7,1,3.0,0,0,1,0,0,1,32.3,32.3,13.8%,CAR,15,2021
2,Charles Harris,7,5,1.5,0,0,0,0,0,1,27.8,27.8,4.0%,FA,15,2021
3,Carlos Dunlap II,4,0,3.0,0,0,0,0,0,1,25.5,25.5,3.0%,FA,15,2021
4,Cameron Jordan,5,0,2.0,0,0,1,0,0,1,24.5,24.5,5.8%,NO,15,2021
5,Yetur Gross-Matos,2,3,2.5,0,0,1,0,0,1,21.8,21.8,1.1%,SF,15,2021
6,Akiem Hicks,4,1,2.0,0,0,0,0,0,1,19.8,19.8,0.0%,FA,15,2021
7,Fletcher Cox,2,1,2.0,0,0,1,0,0,1,18.3,18.3,1.1%,FA,15,2021
8,Efe Obada,3,0,2.0,0,0,0,0,0,1,17.5,17.5,0.0%,WAS,15,2021
9,Jonathan Allen,5,2,1.0,0,0,0,0,0,1,15.5,15.5,14.9%,WAS,15,2021
10,Emmanuel Ogbah,2,0,1.0,1,0,0,1,0,1,15.0,15.0,2.0%,FA,15,2021
11,DeMarcus Lawrence,4,1,0.0,1,0,1,0,0,1,14.8,14.8,12.8%,DAL,15,2021
12,Sheldon Richardson,2,1,0.0,0,0,1,1,0,1,14.3,14.3,1.0%,FA,15,2021
13,Aaron Donald,2,3,1.0,0,0,0,0,0,1,14.3,14.3,11.6%,FA,15,2021
14,Naquan Jones,3,1,1.0,0,0,0,0,0,1,14.3,14.3,0.0%,ARI,15,2021
15,Joey Bosa,3,2,1.0,0,0,1,0,0,1,14.0,14.0,16.3%,LAC,15,2021
16,Marcus Davenport,3,0,1.0,0,0,0,0,0,1,13.5,13.5,2.1%,DET,15,2021
17,Khalid Kareem,2,0,0.0,0,0,1,1,0,1,13.5,13.5,0.0%,CHI,15,2021
18,Zach Sieler,2,1,1.0,1,0,1,0,0,1,13.3,13.3,28.8%,MIA,15,2021
19,Chris Wormley,4,1,1.0,0,0,0,0,0,1,13.3,13.3,0.0%,FA,15,2021
20,Derek Rivers,2,1,1.0,0,0,0,0,0,1,12.8,12.8,0.0%,FA,15,2021
21,Malcom Brown,2,2,1.0,1,0,0,0,0,1,12.5,12.5,0.0%,FA,15,2021
