Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New York Jets,4,0,1,1,0,0,1,1,20.0,20.0,82.4%,NYJ,6,2022
2,Seattle Seahawks,6,1,1,3,0,0,0,1,17.0,17.0,22.4%,SEA,6,2022
3,Arizona Cardinals,5,0,1,1,1,0,0,1,14.0,14.0,0.8%,ARI,6,2022
4,Atlanta Falcons,0,2,1,1,1,0,0,1,13.0,13.0,16.7%,ATL,6,2022
5,New England Patriots,4,2,2,2,0,0,0,1,13.0,13.0,13.6%,NE,6,2022
6,Minnesota Vikings,6,2,1,1,0,0,0,1,13.0,13.0,10.9%,MIN,6,2022
7,Washington Commanders,5,1,1,1,0,0,0,1,13.0,13.0,8.1%,WAS,6,2022
8,Los Angeles Rams,2,1,0,0,0,0,0,1,11.0,11.0,21.2%,LAR,6,2022
9,Carolina Panthers,1,1,0,0,1,0,0,1,9.0,9.0,3.0%,CAR,6,2022
10,Buffalo Bills,3,2,0,0,0,0,0,1,8.0,8.0,61.3%,BUF,6,2022
11,Los Angeles Chargers,4,0,1,0,0,0,0,1,7.0,7.0,13.8%,LAC,6,2022
12,Philadelphia Eagles,0,3,0,0,0,0,0,1,7.0,7.0,51.6%,PHI,6,2022
13,Chicago Bears,3,0,0,1,0,0,0,1,7.0,7.0,33.9%,CHI,6,2022
14,New York Giants,2,1,1,1,0,0,0,1,7.0,7.0,2.4%,NYG,6,2022
15,Baltimore Ravens,4,0,1,1,0,0,0,1,6.0,6.0,86.2%,BAL,6,2022
16,Indianapolis Colts,4,0,1,1,0,0,0,1,6.0,6.0,26.4%,IND,6,2022
17,Denver Broncos,2,1,0,0,0,0,0,1,5.0,5.0,34.5%,DEN,6,2022
18,New Orleans Saints,3,0,1,0,0,0,0,1,4.0,4.0,64.0%,NO,6,2022
19,Dallas Cowboys,4,0,0,0,0,0,0,1,4.0,4.0,92.7%,DAL,6,2022
20,Tampa Bay Buccaneers,2,0,0,0,0,0,0,1,3.0,3.0,20.8%,TB,6,2022
21,Pittsburgh Steelers,2,0,0,1,0,0,0,1,3.0,3.0,75.9%,PIT,6,2022
22,Miami Dolphins,3,0,0,1,0,0,0,1,3.0,3.0,69.9%,MIA,6,2022
23,Kansas City Chiefs,1,0,1,0,0,0,0,1,3.0,3.0,77.7%,KC,6,2022
24,Green Bay Packers,2,0,0,0,0,0,0,1,2.0,2.0,26.4%,GB,6,2022
25,Cincinnati Bengals,1,0,0,0,0,0,0,1,1.0,1.0,50.0%,CIN,6,2022
26,San Francisco 49ers,2,0,0,0,0,0,0,1,1.0,1.0,97.8%,SF,6,2022
27,Cleveland Browns,2,0,1,1,0,0,0,1,0.0,0.0,94.2%,CLE,6,2022
28,Jacksonville Jaguars,0,0,0,1,0,0,0,1,-1.0,-1.0,50.2%,JAC,6,2022
