Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Pittsburgh Steelers,7,4,1,2,1,0,0,1,26.0,26.0,75.9%,PIT,1,2022
2,Miami Dolphins,2,1,2,2,1,0,0,1,18.0,18.0,69.9%,MIA,1,2022
3,Buffalo Bills,7,3,0,0,0,0,0,1,17.0,17.0,61.3%,BUF,1,2022
4,Los Angeles Chargers,6,3,0,3,0,0,0,1,13.0,13.0,13.8%,LAC,1,2022
5,Tampa Bay Buccaneers,4,1,0,0,0,0,0,1,13.0,13.0,20.8%,TB,1,2022
6,Minnesota Vikings,4,1,1,1,0,0,0,1,12.0,12.0,10.9%,MIN,1,2022
7,Baltimore Ravens,3,1,1,2,0,0,0,1,11.0,11.0,86.2%,BAL,1,2022
8,Chicago Bears,2,1,1,1,0,0,0,1,10.0,10.0,33.9%,CHI,1,2022
9,Los Angeles Rams,2,2,2,2,0,0,0,1,9.0,9.0,21.2%,LAR,1,2022
10,Tennessee Titans,5,1,1,2,0,0,0,1,9.0,9.0,3.5%,TEN,1,2022
11,Seattle Seahawks,2,0,2,2,0,0,0,1,7.0,7.0,22.4%,SEA,1,2022
12,Houston Texans,2,1,1,1,0,0,0,1,7.0,7.0,31.9%,HOU,1,2022
13,Indianapolis Colts,3,0,1,1,0,0,0,1,6.0,6.0,26.4%,IND,1,2022
14,Jacksonville Jaguars,1,2,1,1,0,0,0,1,6.0,6.0,50.2%,JAC,1,2022
15,Atlanta Falcons,4,0,1,1,0,0,0,1,6.0,6.0,16.7%,ATL,1,2022
16,Cleveland Browns,4,1,0,1,0,0,0,1,6.0,6.0,94.2%,CLE,1,2022
17,New Orleans Saints,0,0,2,2,0,0,0,1,6.0,6.0,64.0%,NO,1,2022
18,Denver Broncos,2,0,1,3,0,0,0,1,5.0,5.0,34.5%,DEN,1,2022
19,Philadelphia Eagles,1,1,0,0,1,0,0,1,5.0,5.0,51.6%,PHI,1,2022
20,Dallas Cowboys,2,1,0,0,0,0,0,1,5.0,5.0,92.7%,DAL,1,2022
21,San Francisco 49ers,2,1,0,0,0,0,0,1,5.0,5.0,97.8%,SF,1,2022
22,Washington Commanders,2,1,0,1,0,0,0,1,4.0,4.0,8.1%,WAS,1,2022
23,New York Jets,2,1,0,1,0,0,0,1,4.0,4.0,82.4%,NYJ,1,2022
24,New York Giants,1,0,1,0,0,0,0,1,4.0,4.0,2.4%,NYG,1,2022
25,New England Patriots,3,0,0,2,0,0,0,1,4.0,4.0,13.6%,NE,1,2022
26,Kansas City Chiefs,3,0,0,1,0,0,0,1,3.0,3.0,77.7%,KC,1,2022
27,Cincinnati Bengals,1,0,0,1,0,0,0,1,2.0,2.0,50.0%,CIN,1,2022
28,Green Bay Packers,1,0,0,0,0,0,0,1,1.0,1.0,26.4%,GB,1,2022
29,Carolina Panthers,1,0,0,0,0,0,0,1,1.0,1.0,3.0%,CAR,1,2022
30,Las Vegas Raiders,0,0,0,1,0,0,0,1,0.0,0.0,24.5%,LV,1,2022
31,Detroit Lions,1,0,0,0,0,0,0,1,0.0,0.0,38.6%,DET,1,2022
32,Arizona Cardinals,0,0,1,3,0,0,0,1,-2.0,-2.0,0.8%,ARI,1,2022
